day,x,y,z
333,1.7125825399304412E12,-1.0432271260193893E12,1.789879183159309E7
334,1.7180394199126907E12,-1.0460332006078147E12,1.7923249675823856E7
335,1.7234960904309512E12,-1.0488391479223508E12,1.794770576636547E7
336,1.7289525527264336E12,-1.0516449687778058E12,1.7972160112927068E7
337,1.734408808029343E12,-1.054450663981202E12,1.7996612725099027E7
338,1.7398648575590088E12,-1.0572562343318754E12,1.8021063612353984E7
339,1.7453207025240122E12,-1.060061680621572E12,1.8045512784047864E7
340,1.7507763441223118E12,-1.0628670036345442E12,1.8069960249420915E7
341,1.7562317835413677E12,-1.0656722041476443E12,1.809440601759871E7
342,1.761687021958264E12,-1.0684772829304175E12,1.8118850097593177E7
343,1.7671420605398286E12,-1.071282240745193E12,1.8143292498303596E7
344,1.772596900442753E12,-1.0740870783471738E12,1.8167733228517607E7
345,1.7780515428137075E12,-1.0768917964845254E12,1.8192172296912197E7
346,1.7835059887894583E12,-1.0796963958984622E12,1.8216609712054696E7
347,1.7889602394969795E12,-1.0825008773233335E12,1.8241045482403748E7
348,1.7944142960535667E12,-1.0853052414867083E12,1.8265479616310287E7
349,1.7998681595669463E12,-1.0881094891094575E12,1.8289912122018512E7
350,1.8053218311353848E12,-1.0909136209058368E12,1.831434300766683E7
351,1.8107753118477961E12,-1.0937176375835663E12,1.833877228128881E7
352,1.8162286027838472E12,-1.0965215398439102E12,1.8363199950814128E7
353,1.8216817050140623E12,-1.0993253283817551E12,1.8387626024069503E7
354,1.827134619599926E12,-1.102129003885687E12,1.841205050877961E7
355,1.832587347593985E12,-1.104932567038067E12,1.843647341256801E7
356,1.8380398900399475E12,-1.1077360185151052E12,1.846089474295804E7
357,1.8434922479727815E12,-1.1105393589869363E12,1.8485314507373728E7
358,1.848944422418813E12,-1.1133425891176897E12,1.850973271314067E7
359,1.8543964143958213E12,-1.1161457095655623E12,1.853414936748692E7
360,1.8598482249131338E12,-1.1189487209828884E12,1.855856447754385E7
361,1.8652998549717192E12,-1.1217516240162095E12,1.858297805034702E7
362,1.8707513055642793E12,-1.1245544193063418E12,1.8607390092837024E7
363,1.8762025776753396E12,-1.1273571074884438E12,1.863180061186034E7
364,1.8816536722813396E12,-1.1301596891920828E12,1.8656209614170145E7
365,1.88710459035072E12,-1.1329621650412998E12,1.868061710642717E7
